"pattern","icon","name","descr","tags","link",""
"76","opera","creaciỢM","ᗫᚧ Θ❡⊛꩜ゟ ߍߟߌ߫ ߞߊߡߊ߬ ߞߊ߬ ߞߐߕߐ߮ ߞߎߘߊ ߘߏ߫ ߘߊߦߟߍ߬ ߸ ߏ߬ ߞߐ߫","","micro",""
"","compress","rien qu'un blanc","ce pourrait être la première façon d'aborder un long trajet en se disant que tout devien tpossibl malgré simmagrées sin ver lo escondido et sans penser que les affaires vont bon train </br>mais ne pas flanchir car tout est a refaire","test","sepa",""
"","snowflake-o","yang yang","first sleep — របស់ដែលធ្វើបានល្អ គឺជារបស់ដែលដកដង្ហើម","real bosque test","yang",""
"83","strikethrough","rent my caravan","жақсы жасалған нәрсе - тыныс алатын нәрсе","test","encanto",""
"","tty","pomme en la huerta","ꠘ꠆ꠎꠣꠎ and ꠡ꠆ꠛꠣ ceirta qu da kjk toute salꠔꠘ꠆","atag","gato",""
"","chain-broken","un saut","prendre la soupière en main","","batucada",""
"","crop","o sol da tarde","◌̌ aunque ꠎꠣꠎ simple ꠛꠣꠔ","real bosque chocolat","voila",""
"","cube","calma","ꠗꠤꠘꠜꠣꠛꠦ ꠢꠝꠣꠘ ꠁꠎ꠆ꠎꠔ ꠀꠞ ꠢꠇ ꠟꠁꠀ ꠙꠄꠖꠣ ‘ꠅꠄ। ꠔꠣꠁꠘꠔꠣꠁꠘꠞ ꠛꠤꠛꠦꠇ ꠀꠞ ꠀꠇꠟ ꠀꠍꠦ। ꠅꠔꠣꠞ ꠟꠣꠉꠤ ꠢꠇꠟꠞ ꠄꠇꠎꠘꠦ ꠀꠞꠇꠎꠘꠞ ꠟꠉꠦ ꠛꠤꠞꠣꠖꠞꠤꠞ ꠝꠘ ꠟꠁꠀ ꠀꠌꠞꠘ ꠇꠞꠣ ꠃꠌꠤꠔ। ꠢꠇꠟ ꠝꠣꠘꠥꠡ ꠡꠣꠗꠤꠘꠜꠣꠛꠦ ꠢꠝꠣꠘ ꠁꠎ꠆ꠎꠔ ꠀꠞ ꠢꠇ ꠟꠁꠀ ꠙꠄꠖꠣ","","calma",""
"","superpowers","னிதக் குடு","ம்பத்தினைச் சேர்ந்த யாவரதும் உள்ளார்ந்த ","","pasos",""
"","simplybuilt","vento","pega cuando estamos lej@s un@s de los otr@s","nada","birds",""
"","sun","ߞߣߐ߫ ߛߓ","ߍߟߌ߫ ߞߊߡߊ߬ ߞߊ߬ ߞߐߕߐ߮ ߞߎߘߊ ߘߏ߫ ߘߊߦߟߍ߬ ߸ ߏ߬ ߞߐ߫","","guapos",""
"","ils","un semblant de terre","chain-broken venus-double mars-stroke-h rouble rupee spinner eercast bath bars compass asterisk id-card fa-rotate-180 microchip grav barcode anchor bullseye child fa-flip-vertical magnet fa-rotate-90 money","","love",""
